CCTV-1高清,rtp://239.93.0.184:5140
CCTV-2高清,rtp://239.93.1.23:6000
CCTV-3高清,rtp://239.93.1.11:2223
CCTV-4高清,rtp://239.93.1.105:5140
CCTV-5高清,rtp://239.93.42.37:5140
CCTV-5＋高清,rtp://239.93.1.36:8004
CCTV-6高清,rtp://239.93.1.13:2226
CCTV-7高清,rtp://239.93.1.67:5140
CCTV-8高清,rtp://239.93.42.39:5140
CCTV-9高清,rtp://239.93.1.24:5140
CCTV-10高清,rtp://239.93.1.28:5140
CCTV-11高清,rtp://239.93.0.102:5140
CCTV-12高清,rtp://239.93.1.30:8124
CCTV-13高清,rtp://239.93.0.66:5140
CCTV-14少儿高清,rtp://239.93.1.29:6000
CCTV-15高清,rtp://239.93.0.103:5140
CCTV16奥林匹克4K,rtp://239.93.42.54:5140
CCTV-17高清,rtp://239.93.0.92:5140
CETV-1高清,rtp://239.93.1.111:5140
CETV-2,rtp://239.93.0.113:5140
CETV-4,rtp://239.93.0.50:5140
CETV-4,rtp://239.93.0.133:5140
凤凰中文,rtp://239.93.0.162:2192
凤凰资讯,rtp://239.93.0.118:2191
Channel [V],rtp://239.93.0.157:2194
星空卫视,rtp://239.93.1.10:2193
四川卫视高清,rtp://239.93.0.20:1235
SCTV-2高清,rtp://239.93.1.101:5140
SCTV-3高清,rtp://239.93.1.102:5140
SCTV-4高清,rtp://239.93.0.47:5140
SCTV-5高清,rtp://239.93.0.166:5140
SCTV-6高清,rtp://239.93.1.144:5140
SCTV-7高清,rtp://239.93.0.219:5140
SCTV-8科教高清,rtp://239.93.42.44:5140
SCTV9公共·乡村频道,rtp://239.93.1.148:5140
SCTV-5影视文艺,rtp://239.93.1.195:5140
四川乡村高清,rtp://239.93.0.52:5140
CDTV-1高清,rtp://239.93.0.16:5140
CDTV-2高清,rtp://239.93.0.17:1239
CDTV-3高清,rtp://239.93.0.18:1238
CDTV-4高清,rtp://239.93.0.19:1250
CDTV-5高清,rtp://239.93.1.231:5140
CDTV-6高清,rtp://239.93.0.21:1251
CDTV-8高清,rtp://239.93.0.22:1252
四川人大,rtp://239.93.1.65:8138
四川广场舞大赛-单音轨,rtp://239.93.1.97:5140
四川政协,rtp://239.93.0.122:2208
峨眉电影高清,rtp://239.93.0.252:5140
康巴卫视高清,rtp://239.93.0.41:5140
爱成都,rtp://239.93.1.104:1234
三沙卫视,rtp://239.93.42.58:5140
上海纪实高清,rtp://239.93.1.137:5140
东南卫视高清,rtp://239.93.0.42:5140
东方卫视高清,rtp://239.93.0.123:5140
东方财经高清,rtp://239.93.1.165:5140
云南卫视,rtp://239.93.0.174:5140
兵团卫视,rtp://239.93.42.43:5140
内蒙古卫视,rtp://239.93.0.8:5140
北京卡酷,rtp://239.93.0.210:5140
北京卫视高清,rtp://239.93.0.180:5140
厦门卫视,rtp://239.93.42.57:5140
吉林卫视高清,rtp://239.93.0.248:5140
天津卫视高清,rtp://239.93.0.167:5140
宁夏卫视,rtp://239.93.0.247:5140
安徽卫视高清,rtp://239.93.1.106:5140
山东卫视高清,rtp://239.93.0.168:5140
山东教育卫视,rtp://239.93.1.196:5140
山西卫视,rtp://239.93.0.6:5140
广东卫视高清,rtp://239.93.0.181:5140
广西卫视高清,rtp://239.93.42.46:5140
新疆卫视,rtp://239.93.0.194:5140
旅游卫视,rtp://239.93.1.216:5140
江苏卫视高清,rtp://239.93.0.89:5140
江西卫视高清,rtp://239.93.0.134:5140
河北卫视高清,rtp://239.93.0.132:5140
河南卫视高清,rtp://239.93.42.45:5140
浙江卫视高清,rtp://239.93.0.124:5140
海南卫视,rtp://239.93.0.80:5140
深圳卫视高清,rtp://239.93.0.182:5140
湖北卫视高清,rtp://239.93.0.250:5140
湖南卫视高清,rtp://239.93.0.88:5140
甘肃卫视高清,rtp://239.93.0.81:5140
西藏卫视,rtp://239.93.0.175:5140
贵州卫视高清,rtp://239.93.0.131:5140
辽宁卫视高清,rtp://239.93.1.108:5140
重庆卫视高清,rtp://239.93.1.107:5140
陕西农林,rtp://239.93.0.100:5140
陕西卫视,rtp://239.93.0.176:5140
青海卫视,rtp://239.93.0.192:5140
黑龙江卫视高清,rtp://239.93.0.183:5140
4K乐享超清专区,rtp://239.93.0.43:5140
4K超高清电影专区,rtp://239.93.1.156:5140
bestv 4K,rtp://239.93.1.16:5140
中录动漫4K专区,rtp://239.93.1.188:5140
亲子趣学4k专区,rtp://239.93.1.191:5140
天翼4K-HDR,rtp://239.93.1.194:6000
津津悦读4K专区,rtp://239.93.1.197:5140
BesTV测试4K,rtp://239.93.42.75:5140
绚影4K专区,rtp://239.93.42.33:5140
爱上4K专区,rtp://239.93.0.97:5140
4256,rtp://239.93.42.74:5140
53精彩连播,rtp://239.93.1.43:5140
77,rtp://239.93.1.219:5140
78,rtp://239.93.1.221:5140
79,rtp://239.93.1.222:5140
80,rtp://239.93.1.223:5140
81,rtp://239.93.1.225:5140
82,rtp://239.93.1.226:5140
83,rtp://239.93.1.229:5140
84,rtp://239.93.1.236:5140
85,rtp://239.93.1.242:5140
86,rtp://239.93.1.244:5140
87,rtp://239.93.1.245:5140
88,rtp://239.93.1.246:5140
920,rtp://239.93.1.130:5140
921,rtp://239.93.1.131:5140
922,rtp://239.93.1.132:5140
923,rtp://239.93.1.133:5140
924,rtp://239.93.1.122:5140
925,rtp://239.93.1.123:5140
926,rtp://239.93.1.124:5140
927,rtp://239.93.1.125:5140
928,rtp://239.93.1.126:5140
bestv,rtp://239.93.0.34:5140
BesTVlive,rtp://239.93.1.100:2224
BesTV精彩连播,rtp://239.93.0.226:5140
HD看电影专区,rtp://239.93.42.47:5140
中国交通,rtp://239.93.42.62:5140
中国电信,rtp://239.93.0.188:2201
中国电信百视通,rtp://239.93.1.162:2225
乐龄学堂专区,rtp://239.93.1.179:5140
云演艺宣传,rtp://239.93.42.60:5140
云看熊猫专区,rtp://239.93.0.211:9148
优漫卡通,rtp://239.93.1.120:5140
优漫卡通,rtp://239.93.0.32:5140
优漫卡通,rtp://239.93.0.251:5140
先锋乒羽,rtp://239.93.42.56:5140
全球大片专区,rtp://239.93.0.105:5140
军事,rtp://239.93.0.71:5140
军事高清专区,rtp://239.93.0.204:9076
创新及人才文化节,rtp://239.93.42.59:5140
动画广告,rtp://239.93.1.150:2223
动画广告2,rtp://239.93.1.152:5140
动画广告3,rtp://239.93.1.155:2226
动画广告4,rtp://239.93.1.160:6000
动画广告5,rtp://239.93.1.163:5140
动画广告6,rtp://239.93.1.192:5140
动画广告7,rtp://239.93.1.193:5140
动画番剧专区,rtp://239.93.1.177:5140
华西证券,rtp://239.93.0.69:5140
华语影院专区,rtp://239.93.0.138:5140
卡酷动画,rtp://239.93.1.217:5140
卡酷动画,rtp://239.93.0.208:5140
台球,rtp://239.93.1.227:5140
台球高清专区,rtp://239.93.0.203:9072
嘉佳卡通,rtp://239.93.0.246:5140
地理,rtp://239.93.0.75:5140
地理高清专区,rtp://239.93.0.200:9052
城市大明星-单音轨,rtp://239.93.1.93:5140
墨宝,rtp://239.93.0.73:5140
墨宝高清专区,rtp://239.93.0.215:9132
大爱四川,rtp://239.93.0.25:5140
大爱四川,rtp://239.93.0.228:5140
大爱四川高清专区,rtp://239.93.1.110:5140
大爱旅游高清专区,rtp://239.93.42.70:5140
大爱时尚高清专区,rtp://239.93.42.72:5140
大爱生活高清专区,rtp://239.93.42.71:5140
天元围棋,rtp://239.93.42.55:5140
天翼高清,rtp://239.93.0.213:5140
宝宝动画高清专区,rtp://239.93.0.147:5140
导视专区,rtp://239.93.0.129:5140
少儿动画高清专区,rtp://239.93.0.193:9000
少儿天地,rtp://239.93.1.115:5140
少儿天地专区,rtp://239.93.42.34:5140
少儿才艺大赛-单音轨,rtp://239.93.1.96:5140
快乐垂钓,rtp://239.93.1.151:5140
戏曲专区,rtp://239.93.0.217:9208
戏曲精选专区,rtp://239.93.0.144:5140
成都城市音乐厅,rtp://239.93.1.206:5140
收视导视,rtp://239.93.1.243:5140
收视导视高清,rtp://239.93.1.39:5140
收视指南,rtp://239.93.0.38:5140
收视指南专区,rtp://239.93.0.195:8012
星光院线专区,rtp://239.93.0.139:5140
星空精选,rtp://239.93.0.230:5140
星空精选高清专区,rtp://239.93.1.171:5140
来钓鱼吧专区,rtp://239.93.42.8:5140
某电影sd,rtp://239.93.1.22:5140
求索频道高清,rtp://239.93.42.24:5140
港剧风云专区,rtp://239.93.0.143:5140
游戏风云,rtp://239.93.0.136:5140
炫动卡通,rtp://239.93.0.33:5140
炫动卡通,rtp://239.93.0.173:5140
热播剧场专区,rtp://239.93.0.56:9020
热血剧场专区,rtp://239.93.1.198:5140
热门剧场专区,rtp://239.93.0.140:5140
热门卫视,rtp://239.93.1.34:5140
热门卫视-体验,rtp://239.93.1.49:5140
热门央视-体验,rtp://239.93.1.47:5140
热门本地,rtp://239.93.1.35:5140
热门本地-体验,rtp://239.93.1.53:5140
热门综艺高清专区,rtp://239.93.0.151:5140
熊猫24小时专区,rtp://239.93.1.178:5140
熊猫体娱高清专区,rtp://239.93.0.94:5140
熊猫少儿高清专区,rtp://239.93.1.189:5140
熊猫影院,rtp://239.93.0.220:5140
熊猫影院专区,rtp://239.93.0.214:5140
熊猫新闻高清专区,rtp://239.93.1.98:5140
熊猫新闻高清专区,rtp://239.93.1.112:5140
熊猫爱生活高清专区,rtp://239.93.1.190:5140
熊猫直播,rtp://239.93.0.172:5140
爱乐山,rtp://239.93.1.55:8302
爱体育专区,rtp://239.93.0.135:9008
爱动漫专区,rtp://239.93.42.23:5140
爱喜剧,rtp://239.93.1.59:5140
爱喜剧专区,rtp://239.93.42.9:5140
爱奇谈专区,rtp://239.93.42.22:5140
爱宠宠物专区,rtp://239.93.42.32:5140
爱幼教专区,rtp://239.93.42.17:5140
爱怀旧专区,rtp://239.93.42.21:5140
爱悬疑专区,rtp://239.93.42.12:5140
爱玩具专区,rtp://239.93.42.18:5140
爱生活高清专区,rtp://239.93.0.206:8028
爱电竞专区,rtp://239.93.42.19:5140
爱科幻专区,rtp://239.93.42.10:5140
爱经典专区,rtp://239.93.42.13:5140
爱谍战专区,rtp://239.93.42.14:5140
爱赛车专区,rtp://239.93.42.20:5140
