CCTV1,rtp://239.93.0.184:5140
CCTV-X高清,rtsp://182.139.234.40/PLTV/88888893/224/3221226889/10000100000000060000000000622347_0.smil
CCTV2,rtp://239.93.1.23:6000
CCTV3,rtp://239.93.1.11:2223
CCTV4,rtp://239.93.1.105:5140
CCTV5,rtp://239.93.42.37:5140
CCTV5+,rtp://239.93.1.36:8004
CCTV6,rtp://239.93.1.13:2226
CCTV7,rtp://239.93.1.67:5140
CCTV8,rtp://239.93.42.39:5140
CCTV9,rtp://239.93.1.24:5140
CCTV10,rtp://239.93.1.28:5140
CCTV11,rtp://239.93.0.102:5140
CCTV12,rtp://239.93.1.30:8124
CCTV13,rtp://239.93.0.66:5140
CCTV14,rtp://239.93.1.29:6000
CCTV15,rtp://239.93.0.103:5140
CCTV16,rtp://239.93.42.54:5140
CCTV17,rtp://239.93.0.92:5140
中国教育1台,rtp://239.93.1.111:5140
中国教育2台,rtp://239.93.0.113:5140
中国教育4台,rtp://239.93.0.133:5140
CCTV1-CCTV9,rtp://239.93.1.130:5140
CCTV10-CGTN,rtp://239.93.1.131:5140
凤凰中文,rtp://239.93.1.9:2192
凤凰资讯,rtp://239.93.1.4:2191
Channel [V],rtp://239.93.1.7:2194
星空卫视,rtp://239.93.1.10:2193
四川卫视,rtp://239.93.0.20:1235
SCTV2,rtp://239.93.1.101:5140
SCTV3,rtp://239.93.1.102:5140
SCTV4,rtp://239.93.0.47:5140
SCTV5,rtp://239.93.0.166:5140
SCTV6,rtp://239.93.1.144:5140
SCTV7,rtp://239.93.0.219:5140
SCTV8,rtp://239.93.42.44:5140
SCTV9,rtp://239.93.0.52:5140
SCTV1-SCTV9,rtp://239.93.1.132:5140
SCTV10峨眉电影,rtp://239.93.0.252:5140
CDTV1,rtp://239.93.0.16:5140
CDTV2,rtp://239.93.0.17:1239
CDTV3,rtp://239.93.0.18:1238
CDTV4,rtp://239.93.0.19:1250
CDTV5,rtp://239.93.1.231:5140
CDTV6,rtp://239.93.0.21:1251
CDTV蓉城先锋,rtp://239.93.1.246:5140
CDTV8,rtp://239.93.0.22:1252
i成都,rtp://239.93.1.104:1234
四川人大,rtp://239.93.1.65:8138
四川广场舞大赛,rtp://239.93.1.97:5140
四川政协,rtp://239.93.0.122:2208
宣传四川,rtp://239.93.42.74:5140
成都城市宣传,rtp://239.93.1.56:5140
成都都市音乐厅,rtp://239.93.1.206:5140
爱乐山,rtp://239.93.1.55:8302
睛彩四川,rtp://239.93.0.126:5140
红原日干乔,rtp://239.93.0.178:5140
